inning,over,ball,total_runs,mi_batting
1,1,1,1,0
1,1,2,0,0
1,1,3,0,0
1,1,4,0,0
1,1,5,4,0
1,1,6,0,0
1,1,7,2,0
1,2,1,0,0
1,2,2,1,0
1,2,3,0,0
1,2,4,4,0
1,2,5,0,0
1,2,6,4,0
1,3,1,0,0
1,3,2,4,0
1,3,3,6,0
1,3,4,0,0
1,3,5,4,0
1,3,6,4,0
1,4,1,0,0
1,4,2,0,0
1,4,3,0,0
1,4,4,0,0
1,4,5,0,0
1,4,6,1,0
1,5,1,0,0
1,5,2,0,0
1,5,3,4,0
1,5,4,0,0
1,5,5,0,0
1,5,6,1,0
1,6,1,1,0
1,6,2,1,0
1,6,3,4,0
1,6,4,4,0
1,6,5,1,0
1,6,6,1,0
1,6,7,1,0
1,6,8,0,0
1,7,1,0,0
1,7,2,1,0
1,7,3,1,0
1,7,4,0,0
1,7,5,1,0
1,7,6,2,0
1,7,7,1,0
1,8,1,0,0
1,8,2,1,0
1,8,3,1,0
1,8,4,1,0
1,8,5,1,0
1,8,6,1,0
1,9,1,0,0
1,9,2,0,0
1,9,3,1,0
1,9,4,4,0
1,9,5,1,0
1,9,6,2,0
1,10,1,0,0
1,10,2,1,0
1,10,3,6,0
1,10,4,1,0
1,10,5,1,0
1,10,6,1,0
1,11,1,6,0
1,11,2,1,0
1,11,3,1,0
1,11,4,1,0
1,11,5,4,0
1,11,6,1,0
1,12,1,0,0
1,12,2,1,0
1,12,3,4,0
1,12,4,4,0
1,12,5,5,0
1,12,6,1,0
1,12,7,1,0
1,13,1,1,0
1,13,2,0,0
1,13,3,1,0
1,13,4,4,0
1,13,5,1,0
1,13,6,4,0
1,14,1,0,0
1,14,2,1,0
1,14,3,6,0
1,14,4,0,0
1,14,5,1,0
1,14,6,6,0
1,15,1,2,0
1,15,2,1,0
1,15,3,1,0
1,15,4,2,0
1,15,5,0,0
1,15,6,0,0
1,16,1,1,0
1,16,2,4,0
1,16,3,0,0
1,16,4,4,0
1,16,5,1,0
1,16,6,4,0
1,16,7,1,0
1,17,1,4,0
1,17,2,1,0
1,17,3,1,0
1,17,4,1,0
1,17,5,2,0
1,17,6,1,0
1,18,1,4,0
1,18,2,1,0
1,18,3,4,0
1,18,4,4,0
1,18,5,1,0
1,18,6,0,0
1,19,1,0,0
1,19,2,5,0
1,19,3,0,0
1,19,4,1,0
1,19,5,4,0
1,19,6,2,0
1,19,7,0,0
1,20,1,6,0
1,20,2,1,0
1,20,3,4,0
1,20,4,1,0
1,20,5,0,0
1,20,6,2,0
1,1,1,0,0
1,1,2,1,0
1,1,3,0,0
1,1,4,0,0
1,1,5,0,0
1,1,6,0,0
1,2,1,4,0
1,2,2,0,0
1,2,3,0,0
1,2,4,4,0
1,2,5,0,0
1,2,6,4,0
1,3,1,1,0
1,3,2,1,0
1,3,3,1,0
1,3,4,2,0
1,3,5,0,0
1,3,6,0,0
1,4,1,0,0
1,4,2,1,0
1,4,3,0,0
1,4,4,1,0
1,4,5,0,0
1,4,6,0,0
1,5,1,0,0
1,5,2,0,0
1,5,3,2,0
1,5,4,0,0
1,5,5,1,0
1,5,6,0,0
1,6,1,4,0
1,6,2,0,0
1,6,3,0,0
1,6,4,1,0
1,6,5,0,0
1,6,6,0,0
1,7,1,0,0
1,7,2,2,0
1,7,3,0,0
1,7,4,1,0
1,7,5,1,0
1,7,6,4,0
1,8,1,0,0
1,8,2,0,0
1,8,3,1,0
1,8,4,0,0
1,8,5,4,0
1,8,6,1,0
1,9,1,0,0
1,9,2,4,0
1,9,3,0,0
1,9,4,0,0
1,9,5,0,0
1,9,6,0,0
1,10,1,0,0
1,10,2,0,0
1,10,3,4,0
1,10,4,1,0
1,10,5,1,0
1,10,6,1,0
1,10,7,4,0
1,11,1,0,0
1,11,2,0,0
1,11,3,0,0
1,11,4,0,0
1,11,5,0,0
1,11,6,0,0
1,12,1,1,0
1,12,2,1,0
1,12,3,1,0
1,12,4,4,0
1,12,5,2,0
1,12,6,0,0
1,13,1,0,0
1,13,2,1,0
1,13,3,0,0
1,13,4,1,0
1,13,5,4,0
1,13,6,1,0
1,13,7,0,0
1,14,1,1,0
1,14,2,0,0
1,14,3,4,0
1,14,4,0,0
1,14,5,4,0
1,14,6,0,0
1,14,7,1,0
1,15,1,0,0
1,15,2,1,0
1,15,3,0,0
1,15,4,0,0
1,15,5,1,0
1,15,6,0,0
1,15,7,4,0
1,16,1,1,0
1,16,2,4,0
1,16,3,2,0
1,16,4,1,0
1,16,5,1,0
1,16,6,4,0
1,17,1,1,0
1,17,2,1,0
1,17,3,4,0
1,17,4,0,0
1,17,5,1,0
1,17,6,4,0
1,18,1,1,0
1,18,2,1,0
1,18,3,1,0
1,18,4,6,0
1,18,5,4,0
1,18,6,1,0
1,19,1,1,0
1,19,2,6,0
1,19,3,0,0
1,19,4,1,0
1,19,5,6,0
1,19,6,0,0
1,20,1,1,0
1,20,2,3,0
1,20,3,1,0
1,20,4,0,0
1,20,5,1,0
1,20,6,4,0
1,20,7,1,0
1,20,8,4,0
1,20,9,0,0
2,1,1,0,0
2,1,2,0,0
2,1,3,0,0
2,1,4,0,0
2,1,5,0,0
2,1,6,2,0
2,2,1,1,0
2,2,2,0,0
2,2,3,4,0
2,2,4,1,0
2,2,5,4,0
2,2,6,4,0
2,3,1,1,0
2,3,2,0,0
2,3,3,0,0
2,3,4,1,0
2,3,5,0,0
2,3,6,0,0
2,4,1,0,0
2,4,2,0,0
2,4,3,0,0
2,4,4,1,0
